# psi Mf af cosiota A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
3.012584636107791702e+00 6.599475718079220599e+01 6.579371101787225840e-01 -5.689907846016812876e-01 4.304047252265981172e+00 2.077352042183726155e+00 1.855088102485238366e-01 7.385928265836285700e-01 2.862657856789954103e+00 3.115464416822018912e+00 2.137735338822714766e+04 0.000000000000000000e+00
2.271200410116869683e+00 6.660444435084822601e+01 6.737945800954756592e-01 8.212342396096873609e-02 1.128413335406129825e+01 6.410339473888791773e+00 4.401111891820251865e-01 6.489247279959864390e-01 2.701805456811848138e+00 2.825452285772853678e+00 2.137750448668886747e+04 0.000000000000000000e+00
2.759477963142682455e+00 6.563940103632988610e+01 6.566519358568335685e-01 1.411392215245638182e-01 5.589943825877559114e+00 3.094003230993811471e+00 2.850580751455311646e-01 3.854551760237909797e-01 2.552745275987255091e+00 2.700783218700292032e+00 2.137754211030578517e+04 0.000000000000000000e+00
1.311855585658026291e+00 6.606038261027502756e+01 6.606799808116206041e-01 -5.639952830619671120e-01 4.211033605601444130e+00 2.170232539780749814e+00 1.625943164491427118e-01 3.625006828771813794e+00 5.662410303960385249e+00 5.854861928552952399e+00 2.137757010152601288e+04 0.000000000000000000e+00
1.582003722191321904e+00 6.558610440057479707e+01 6.481030424427426384e-01 -2.027080525164471347e-01 6.716744994917040579e+00 3.338735764544078055e+00 2.906297331797630945e-01 3.838412531259278726e+00 6.046342561932262605e+00 3.896883197076603245e-02 2.137757942118218125e+04 0.000000000000000000e+00
5.178771336576083462e-01 6.653711263896192918e+01 6.750853406253862765e-01 4.977904569606335650e-01 5.542063682556686466e+00 3.315999859305057473e+00 3.331304959011864852e-01 4.892491723585393970e+00 6.984970686621871927e-01 7.864052131974412774e-01 2.137759652714769254e+04 0.000000000000000000e+00
4.863119685467407471e-01 6.686088645691221188e+01 6.837967176620302068e-01 -3.384388455792171624e-01 7.914727588874325370e+00 4.929269355899052130e+00 3.716062667591665813e-01 1.961164639870429882e+00 3.939214824196473952e+00 4.106259764310893345e+00 2.137760960230605997e+04 0.000000000000000000e+00
6.243178899691225192e-01 6.608475318064793669e+01 6.636485738256496791e-01 5.733594417741773031e-01 4.707080752411334501e+00 2.558430319014338483e+00 2.385977564759601544e-01 4.697361663217652250e+00 4.206843579325315607e-01 5.292353189970600003e-01 2.137763245714448567e+04 0.000000000000000000e+00
2.128692131699975398e+00 6.587048907890593341e+01 6.541359974047146197e-01 3.281380121969531549e-01 8.444049845583588620e+00 4.306178286606778371e+00 3.741766354380066106e-01 1.639634427170330255e+00 3.835315435070657308e+00 3.958797811909902986e+00 2.137763466842494745e+04 0.000000000000000000e+00
2.506359289232760634e+00 6.608960276485500174e+01 6.600047825500521270e-01 2.672412362396466845e-01 5.929182309453118194e+00 3.123490490726462454e+00 2.276731729409955385e-01 7.215866702746155381e-01 2.759788813394572049e+00 2.864459300407017572e+00 2.137766304844475599e+04 0.000000000000000000e+00
