# psi Mf af cosiota Q A2220 A2221 phi2220 phi2221 logL logPrior
2.188581578202957179e+00 6.495876582261041676e+01 4.917506144223877662e-01 -9.805022410691001111e-01 5.783321402250440890e-01 3.046927185463258692e+00 1.461738209855422133e+00 5.502361591620463344e+00 1.863432311692557963e+00 2.132629534046381013e+04 0.000000000000000000e+00
2.835198057963391749e-01 6.502635760471547144e+01 6.292148429558604983e-01 1.255975060380205566e-01 1.025495367573237976e-01 1.375407029971452388e+01 5.977281595167569961e+00 6.167497131358001816e+00 2.448110598738988397e+00 2.132638725583044652e+04 0.000000000000000000e+00
3.789006942502799458e-01 6.575193054035996454e+01 6.491503462030381311e-01 -6.595985881149037944e-01 7.478041175104455096e-02 4.355227436632429061e+00 2.014542525986629862e+00 1.841615001995600576e+00 4.331422063487718965e+00 2.132641762600943548e+04 0.000000000000000000e+00
8.955586866686453540e-01 6.481876462120517601e+01 6.388985216544381673e-01 3.868189786914693618e-01 2.421437475914611781e-03 5.713223057400441007e+00 2.803022207538629296e+00 4.060787256258780786e+00 1.989871794759121570e-01 2.132655466688512388e+04 0.000000000000000000e+00
2.722124454570518548e+00 6.481292199858170022e+01 6.046203616533518677e-01 -8.512714233983151857e-01 2.875813991457756291e-01 3.425088403405597504e+00 1.656680516491194854e+00 2.383061190919104622e-01 2.774670100550588270e+00 2.132670578134369134e+04 0.000000000000000000e+00
4.294211306415083862e-01 6.485739283112788200e+01 6.364129686205312053e-01 -2.382365702881612535e-01 3.400846719906962939e-02 1.222905568417545830e+01 5.897286678348731215e+00 1.867819584522475873e+00 4.363030343642456010e+00 2.132679738773767167e+04 0.000000000000000000e+00
3.039477619160207311e+00 6.560684836544908194e+01 6.235121303182280528e-01 6.963233465390885613e-01 2.715209773456228604e-01 3.888613444317041701e+00 1.860615483241998547e+00 6.269155072491236602e+00 2.391632602697507437e+00 2.132681153229788106e+04 0.000000000000000000e+00
2.386897757273576115e+00 6.603550678808353780e+01 6.143339216422183391e-01 -3.496689383416098362e-01 3.168487593202062302e-01 6.316864369023477366e+00 2.745538731556498746e+00 6.123078196047901045e+00 2.357233114632879989e+00 2.132689036999725431e+04 0.000000000000000000e+00
1.046424754366704013e+00 6.406129696507173321e+01 3.732271492401978974e-01 3.249601515255840511e-01 7.541832028993270542e-01 5.765984373663675555e+00 2.845284060468179277e+00 3.851868991820888599e+00 2.050804884232491077e-01 2.132694019870619377e+04 0.000000000000000000e+00
2.776059847539120717e+00 6.557382209376284266e+01 5.814911302184506692e-01 -1.418560591436596185e-01 3.843160302262914052e-01 5.722366734355312623e+00 2.549773496365084657e+00 4.581850170262640742e-01 3.037694930646000824e+00 2.132696077442446767e+04 0.000000000000000000e+00
3.005645062976418647e+00 6.508828996422492708e+01 6.340700061455930570e-01 6.820953004668881547e-01 8.407618756421937622e-02 4.015114240074546537e+00 1.839994547771467648e+00 1.156021406435922411e-01 2.723484733687090209e+00 2.132706194426700677e+04 0.000000000000000000e+00
2.946522401556386228e+00 6.497638604714138921e+01 6.333336113029127690e-01 8.622994433710878814e-02 1.118659463459495684e-01 5.948961287056003577e+00 2.750787440428640096e+00 3.854863009240733218e-01 2.838955298211307987e+00 2.132708935362900593e+04 0.000000000000000000e+00
1.526417377621532623e+00 6.595517153298347068e+01 6.360081129292155522e-01 -4.625160774908057548e-01 2.188974858183164451e-01 5.005801246308899444e+00 2.260398882187113934e+00 4.027522488465984374e+00 2.152131071144819663e-01 2.132715799740752482e+04 0.000000000000000000e+00
2.940438642820847992e+00 6.283340365509398140e+01 2.433534718029624067e-01 5.095339388928107338e-01 8.946628992948669756e-01 4.654057058492818477e+00 2.169850574616398298e+00 2.571302753412028630e-01 2.826858498749366344e+00 2.132727663014796781e+04 0.000000000000000000e+00
1.594770441874109768e+00 6.548858834890262415e+01 6.406152335155586020e-01 1.608115558805922052e-01 1.288505539043791615e-01 7.082625273680830169e+00 3.365663021026470858e+00 3.310990736308101923e+00 5.790495693227700968e+00 2.132733651923436628e+04 0.000000000000000000e+00
1.461686813882505431e+00 6.375430489717076910e+01 6.043195317376564013e-01 -7.165114242188960203e-01 1.236784866698624197e-01 4.023447171020540836e+00 1.972853345797595193e+00 3.995097873693466806e+00 3.149788683700484038e-01 2.132735493346272051e+04 0.000000000000000000e+00
2.872857753869533237e-01 6.518861595782304619e+01 6.228196663465763727e-01 -3.014237433548019318e-01 1.770880627182537248e-01 8.648383869088444698e+00 3.941363150329015852e+00 1.478148582775400399e+00 4.093348090575372744e+00 2.132735763621229853e+04 0.000000000000000000e+00
8.739090577800788795e-01 6.436098737744011089e+01 6.122432893447439239e-01 -4.385623362725611929e-01 1.960194795369115117e-01 5.646083131982818415e+00 2.889526908964963781e+00 2.960974671272676328e+00 5.509504727914636746e+00 2.132744043534018419e+04 0.000000000000000000e+00
2.052958532149721016e+00 6.443289048150954557e+01 3.531358817110368253e-01 -7.953815345909239776e-01 7.976999150044498110e-01 3.645683914650982960e+00 1.769003664651572105e+00 5.184749736835562395e+00 1.421623822928723690e+00 2.132745103027825462e+04 0.000000000000000000e+00
2.647395335040942044e+00 6.482520410784937326e+01 6.324015732965525549e-01 -2.321856081138762851e-01 3.264717513171687402e-02 5.828300548493005273e+00 2.857295150891809410e+00 2.894703114158845292e-01 2.842808620858985336e+00 2.132749884379175637e+04 0.000000000000000000e+00
3.943887317422884453e-01 6.587116846509719892e+01 4.966319237698275657e-01 6.776370505027643487e-01 6.136702465594371381e-01 4.234845873735229915e+00 1.955811323672185686e+00 5.281142875108018941e+00 1.463643385027917354e+00 2.132755169603443937e+04 0.000000000000000000e+00
2.754094763451961914e+00 6.346672853170247919e+01 3.070313248085478341e-01 -1.709865886308392646e-01 8.309508158506957454e-01 5.755294976340034729e+00 2.756537748150109657e+00 3.979122380154441196e-01 2.947080043656750803e+00 2.132762243867693905e+04 0.000000000000000000e+00
2.741216097583381917e+00 6.395840972692850812e+01 3.158192197431810011e-01 3.262477258220677218e-02 8.304804581040359235e-01 5.992044894408340205e+00 2.818637196387385746e+00 4.697596765720673528e-01 3.085218159440057395e+00 2.132769429209552618e+04 0.000000000000000000e+00
2.087312173816471272e+00 6.428179001124890135e+01 5.347864770357664277e-01 2.047109125603246149e-01 4.586698654370860995e-01 1.429179686257026738e+01 7.169279293376781936e+00 1.736139594292862798e+00 4.336307689768827522e+00 2.132769937577167730e+04 0.000000000000000000e+00
7.997883956015396922e-01 6.452419845139966981e+01 5.739598451309196880e-01 -9.161221355871779215e-01 3.562689479998347730e-01 3.295118657715787158e+00 1.610900105802461901e+00 2.710312246149074511e+00 5.315508848299329792e+00 2.132776861251382070e+04 0.000000000000000000e+00
