# psi Mf af cosiota A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.178702559250638555e-02 6.669241967862973297e+01 6.727711255083427266e-01 5.747420305718505817e-01 4.155193012401824149e+00 2.022238492895126249e+00 2.033633560916744687e-01 6.091978091036280851e+00 2.102582125309082173e+00 2.551563039480102546e+00 2.142805052838503616e+04 0.000000000000000000e+00
1.544432381927693942e+00 6.640487804453661624e+01 6.563464112410369866e-01 -3.641547941843923386e-01 5.129378819383474841e+00 2.128003073054469230e+00 1.702220656620746231e-01 4.032853480175094596e+00 9.636976250909023989e-02 6.863951268637559222e-01 2.142808167012011836e+04 0.000000000000000000e+00
3.612110357083601619e-01 6.650301452860323081e+01 6.705609473872657933e-01 -2.657253586527178468e-01 9.151401162574611448e+00 4.465920864992424910e+00 2.749327441988639320e-01 1.587101143546360671e+00 3.730003369859856921e+00 4.284967875761287459e+00 2.142811765223004841e+04 0.000000000000000000e+00
7.046475263693664504e-01 6.794738634276284017e+01 6.892009157270102548e-01 -9.595589527072014013e-02 9.767389526105008102e+00 3.859312706630490197e+00 2.044868336407786591e-01 3.254400368909097896e+00 5.245554446412156402e+00 7.540611296006838327e-02 2.142828259730526406e+04 0.000000000000000000e+00
2.185377917768887901e+00 6.817814338875244573e+01 6.914618916615470345e-01 3.128109691707124940e-01 7.305732050723730886e+00 2.783290503730657672e+00 1.784159586307050016e-01 1.531430066427953651e+00 3.634618266096378836e+00 4.712941483605558091e+00 2.142830309270287034e+04 0.000000000000000000e+00
1.410999192173656436e+00 6.548843196372222053e+01 6.434677467812859319e-01 -7.242630760017308988e-01 3.580288003340090341e+00 1.639849852938633168e+00 1.882920571541852328e-01 3.908751611762326661e+00 3.281479042696961584e-02 4.771294828136409816e-01 2.142831799862838307e+04 0.000000000000000000e+00
2.188926434800158471e+00 6.722475138195339639e+01 6.747381537085479497e-01 8.965779486452429836e-01 2.840228931449437777e+00 1.141236012438049618e+00 1.210223672850949256e-01 1.722812919829207035e+00 3.872843608174437957e+00 4.735776401471824215e+00 2.142834276982620213e+04 0.000000000000000000e+00
8.832118816709173537e-01 6.668455097864671188e+01 6.700512341280778772e-01 -4.332709873922153954e-02 6.881877546271224055e+00 3.276905845098543324e+00 2.243671327527149428e-01 3.486874268087229112e+00 5.717867709419865108e+00 6.025433813495147284e+00 2.142842881413640862e+04 0.000000000000000000e+00
2.210875072769914684e+00 6.671423812958444444e+01 6.655535527033343834e-01 -1.828705066463147122e-01 1.027997747044501686e+01 4.029053113037818434e+00 2.746472862764687273e-01 5.995268245786683714e+00 1.892241200011431923e+00 2.943139450506770061e+00 2.142849057765609905e+04 0.000000000000000000e+00
1.852323421659611835e+00 6.899818262451506712e+01 7.116406046486326575e-01 5.882809551774266510e-02 1.301088194119307140e+01 6.142861537981797682e+00 2.370067884425244298e-01 3.244767888815244472e+00 5.157290593782139609e+00 5.909401817818097591e+00 2.142853763758840068e+04 0.000000000000000000e+00
